Time,Temp,Volt
9.719409686769652224e-01,2.047194913030837560e-01,1.789261311609340321e-01
1.469502557791966257e-01,6.755316717527750647e-01,7.598243180125977547e-01
1.889156737848369794e-01,6.946750056582237098e-01,8.110694772980268086e-01
8.288168104469340047e-01,8.896274078784289774e-01,8.440802829846850708e-01
7.513995531776058723e-01,7.503782842938996334e-01,1.140444908615196873e-01
7.876656989701358302e-02,8.273927173030538595e-01,4.496021346285543618e-01
9.441420306341373747e-01,9.891278000359863265e-01,9.294503425056803714e-01
1.784900754741894913e-01,6.033259937841578546e-01,9.269698018668920403e-01
8.804435075155877533e-01,3.352530954896386639e-01,7.299298137966606648e-01
4.725408633317236262e-01,3.167783415930964797e-01,7.676708068490001313e-02
